X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,X101,X102,X103,X104,X105,X106,X107,X108,X109,X110,X111,X112,X113,X114,X115,Y
0.492414718,0.02623418,0.007962451,0.012027491,0.021079541,0.009722571,0.016218255,0.009177772,0.011315062,0.009135865,0.008255804,0.031933618,0.017768837,0.017936468,0.006118515,0.004023133,0.008926326,0.016595424,0.015841086,0.008004358,0.000670522,0.000502892,0.027239963,0.014290504,0.022755846,0.007291929,0.003604057,0.000502892,0.000502892,0.009010142,0.013661889,0.012488475,0.009806387,0.000921968,0.000754337,0.000167631,0.012488475,0.016930685,0.008716788,0.003268796,0.000419076,0.000419076,0.008423435,0.006830945,0.000460984,0.000293353,8.38E-05,0.006872852,0.003352611,0.000670522,0.000544799,0.000586707,0.000586707,8.38E-05,0.000251446,0.000460984,0.000167631,0.000921968,0.439359651,0.036124382,0.010686447,0.018984159,0.031514542,0.015463918,0.029670606,0.009471126,0.015296287,0.009974017,0.006328053,0.027659039,0.016679239,0.021582432,0.006328053,0.002682089,0.008255804,0.014835303,0.013913335,0.00762719,0.000209538,0.000419076,0.026317995,0.012069399,0.022462493,0.008800603,0.002430643,0.000209538,0.000754337,0.010602632,0.019948035,0.01630207,0.006998575,0.000335261,0.000670522,0.000251446,0.013452351,0.021917693,0.007836728,0.002640181,0.000167631,0.000419076,0.010435001,0.005070824,0.000502892,0.000251446,0,0.008549158,0.003394518,0.000419076,0.000670522,0.000921968,0.000544799,0.000125723,0.000251446,0.000419076,4.19E-05,0.000419076,0
0.492414718,0.021079541,0.009177772,0.011315062,0.031933618,0.017768837,0.017936468,0.008926326,0.016595424,0.015841086,0.008004358,0.027239963,0.014290504,0.022755846,0.007291929,0.003604057,0.009010142,0.012488475,0.008423435,0.006872852,0.000586707,0.000251446,0.02623418,0.013661889,0.016930685,0.006830945,0.003352611,0.000586707,0.000460984,0.007962451,0.009722571,0.009135865,0.006118515,0.000670522,0.000502892,0.000167631,0.012027491,0.016218255,0.008255804,0.004023133,0.000502892,0.000502892,0.012488475,0.009806387,0.000921968,0.000754337,0.000167631,0.008716788,0.003268796,0.000419076,0.000419076,0.000460984,0.000293353,8.38E-05,0.000670522,0.000544799,8.38E-05,0.000921968,0.439359651,0.031514542,0.009471126,0.015296287,0.027659039,0.016679239,0.021582432,0.008255804,0.014835303,0.013913335,0.00762719,0.026317995,0.012069399,0.022462493,0.008800603,0.002430643,0.010602632,0.013452351,0.010435001,0.008549158,0.000921968,0.000251446,0.036124382,0.019948035,0.021917693,0.005070824,0.003394518,0.000544799,0.000419076,0.010686447,0.015463918,0.009974017,0.006328053,0.000209538,0.000209538,4.19E-05,0.018984159,0.029670606,0.006328053,0.002682089,0.000419076,0.000754337,0.01630207,0.006998575,0.000335261,0.000670522,0.000251446,0.007836728,0.002640181,0.000167631,0.000419076,0.000502892,0.000251446,0,0.000419076,0.000670522,0.000125723,0.000419076,0
0.483629191,0.028366505,0.008821947,0.017105971,0.028043751,0.01821768,0.028438228,0.009001255,0.01276672,0.009539179,0.007172315,0.025031379,0.012013627,0.018432849,0.007423346,0.003550296,0.006921284,0.014595661,0.008319885,0.006132329,0.00068137,0.000394477,0.024206563,0.015922539,0.025318271,0.006311637,0.003550296,0.000502062,0.000753093,0.008929532,0.01412946,0.009646763,0.005881298,0.000573785,0.000502062,3.59E-05,0.012623274,0.018468711,0.007817823,0.005128205,0.000537924,0.000430339,0.009359871,0.006455083,0.00068137,0.000502062,0,0.008248162,0.004446835,0.0004662,0.000502062,0.000573785,0.000358616,7.17E-05,0.000286893,0.000537924,0,0.000358616,0.447337278,0.027685135,0.008570916,0.015563923,0.025569302,0.017177694,0.028366505,0.008642639,0.014954276,0.009646763,0.008391608,0.031629909,0.016065985,0.023704501,0.005486821,0.003442711,0.009324009,0.019006634,0.010328133,0.007100592,0.000932401,0.000537924,0.031056123,0.018540434,0.030625784,0.005594406,0.004626143,0.000502062,0.000968263,0.008821947,0.012838444,0.008355747,0.006526807,0.000537924,0.000143446,0,0.014308768,0.023561054,0.006239914,0.002115833,0.000215169,0.000430339,0.010579164,0.0077461,0.000753093,0.000394477,0,0.00638336,0.003478573,0.000358616,0.001434463,0.000358616,0.000215169,0,0.000251031,0.000430339,3.59E-05,0.000322754,0
0.406666667,0.034848485,0.006060606,0.018585859,0.023434343,0.013535354,0.029494949,0.006262626,0.014141414,0.009292929,0.006060606,0.028484848,0.01959596,0.038585859,0.006969697,0.001616162,0.006060606,0.02030303,0.015656566,0.011414141,0.00020202,0.00040404,0.03010101,0.017575758,0.030606061,0.007171717,0.003232323,0.00010101,0.00030303,0.007373737,0.021414141,0.016969697,0.014242424,0.00010101,0.00040404,0,0.021414141,0.034646465,0.012323232,0.001919192,0.00040404,0,0.010909091,0.007272727,0.00020202,0.00030303,0,0.006969697,0.002525253,0.00010101,0.00020202,0.00030303,0,0,0.00030303,0,0,0,0.402626263,0.028585859,0.005959596,0.016363636,0.027070707,0.012929293,0.036464646,0.003636364,0.019292929,0.011111111,0.006969697,0.036060606,0.01959596,0.037777778,0.007575758,0.003535354,0.003232323,0.017474747,0.017474747,0.013434343,0.00020202,0.00020202,0.023131313,0.011616162,0.03020202,0.015050505,0.003333333,0.001010101,0.000707071,0.004444444,0.017171717,0.013737374,0.009393939,0.00020202,0.00020202,0,0.011212121,0.043737374,0.012626263,0.003636364,0.00020202,0.001616162,0.009494949,0.007878788,0.00030303,0.00030303,0,0.006767677,0.001717172,0.001313131,0.000909091,0.00010101,0,0,0.00010101,0.002424242,0.00010101,0.00010101,0
0.507465803,0.029758797,0.006021371,0.013191326,0.020744144,0.010928962,0.01197313,0.005777731,0.012808465,0.006473844,0.004455118,0.038912673,0.019177891,0.024468344,0.007413595,0.000974557,0.00824893,0.019421531,0.010720128,0.010267655,0.000452473,0.000208834,0.034144304,0.015558108,0.019908809,0.00428109,0.001566252,0.000139222,0.000139222,0.005603703,0.015175246,0.011172601,0.007378789,0.000417667,0.000208834,0.000139222,0.01712436,0.031394661,0.011764296,0.001809892,0.000104417,0.000278445,0.00856218,0.005220842,0.000243639,0.000139222,6.96E-05,0.003515367,0.001531447,0.000243639,6.96E-05,0.000382862,6.96E-05,6.96E-05,0.000243639,0.000522084,0,0.001183391,0.510076224,0.038181755,0.006856705,0.016671888,0.032369218,0.013017298,0.023528593,0.006125787,0.015070829,0.007552818,0.004420313,0.028645018,0.013260938,0.033134941,0.006021371,0.002993283,0.004663952,0.010267655,0.009954405,0.01340016,0.000591695,0.000139222,0.019560753,0.007518012,0.015418886,0.008840625,0.002819254,0.000348056,0.000348056,0.00539487,0.01625422,0.008701403,0.005603703,0.000417667,0.000382862,0,0.010024016,0.02648707,0.013330549,0.002784449,0.000417667,0.001218196,0.005603703,0.009258292,0.00031325,0.000243639,0,0.005186036,0.002436393,0.000382862,0.000626501,0.00055689,6.96E-05,0,0.000208834,0.001392224,3.48E-05,0.000626501,0
0.572695773,0.026149226,0.004065604,0.00997921,0.029337029,0.011965812,0.027258027,0.004158004,0.012289212,0.015800416,0.008731809,0.020882421,0.009424809,0.017140217,0.006606607,0.000831601,0.003973204,0.009009009,0.010533611,0.006098406,0.0001848,0.000231,0.023053823,0.01021021,0.021483021,0.006514207,0.002171402,0.0001386,9.24E-05,0.005497805,0.013398013,0.00984061,0.004573805,0.000231,0.000231,0,0.012797413,0.022776623,0.004851005,0.001432201,0.0001848,0,0.013074613,0.006375606,0.000231,9.24E-05,0,0.008316008,0.001940402,0.0001386,4.62E-05,0.0002772,0,0,0.0001848,0.0001386,0,0.000231,0.534303534,0.023331023,0.003696004,0.00997921,0.025872026,0.011411411,0.028459228,0.004989605,0.013952414,0.013582814,0.008731809,0.03030723,0.013675214,0.028274428,0.006144606,0.001016401,0.004296604,0.011319011,0.01007161,0.004989605,0.0001386,4.62E-05,0.033264033,0.012889813,0.032617233,0.004620005,0.001339801,0.0002772,0.0003696,0.004620005,0.00997921,0.011226611,0.006421806,0.0001848,4.62E-05,0,0.013028413,0.021483021,0.006468006,0.001247401,9.24E-05,0.000231,0.016909217,0.006098406,4.62E-05,9.24E-05,0,0.008269808,0.001016401,0.0002772,0.0003234,9.24E-05,0.0003234,0,9.24E-05,4.62E-05,0,4.62E-05,0
0.359711456,0.018087855,0.012489233,0.011412575,0.01744186,0.010228252,0.011520241,0.010981912,0.011627907,0.010120586,0.004844961,0.03003876,0.026270457,0.025193798,0.01335056,0.005598622,0.014427218,0.021856158,0.021640827,0.018303187,0.001722653,0.000215332,0.022932817,0.019379845,0.022825151,0.011197244,0.006244617,0.00129199,0.000753661,0.009797588,0.015288544,0.014965547,0.010981912,0.000645995,0.001399655,0.000107666,0.016580534,0.030146425,0.019810508,0.006244617,0.000645995,0.00204565,0.011843239,0.014319552,0.002368648,0.00129199,0.000107666,0.009797588,0.007105943,0.000861326,0.000430663,0.001507321,0.001830319,0.000430663,0.001399655,0.002368648,0.000430663,0.004844961,0.3208441,0.03208441,0.014534884,0.022286822,0.023578811,0.019810508,0.027239449,0.012381568,0.018518519,0.013458226,0.008505599,0.024009475,0.0166882,0.032945736,0.013565891,0.006352283,0.009689922,0.012812231,0.014750215,0.021640827,0.001722653,0.000645995,0.016149871,0.010228252,0.015073213,0.010551249,0.007536606,0.001076658,0.001722653,0.009151593,0.026270457,0.021102498,0.010766581,0.002691645,0.001937984,0.000215332,0.012812231,0.030469423,0.020671835,0.007321275,0.001076658,0.003552972,0.008074935,0.015611542,0.001399655,0.001184324,0.000430663,0.005490956,0.004306632,0.001076658,0.001507321,0.00129199,0.000753661,0.000107666,0.000645995,0.004091301,0.000215332,0.003014643,0
0.474080268,0.02173913,0.009121313,0.010717543,0.032532685,0.017786561,0.016798419,0.010185467,0.014366069,0.014366069,0.010337489,0.024171481,0.013529948,0.023715415,0.008209182,0.003876558,0.010033445,0.013453937,0.010869565,0.008589237,0.000684099,0.00083612,0.025235634,0.013073883,0.014974156,0.009577379,0.002812405,0.00083612,0.000304044,0.009501368,0.009729401,0.0104135,0.006840985,0.000912131,0.000532077,0.000152022,0.011401642,0.013073883,0.008437215,0.005016722,0.000912131,0.000532077,0.013073883,0.011629675,0.001520219,0.001140164,0.000380055,0.008361204,0.003268471,0.000304044,0.000684099,0.000684099,0.000684099,0.000228033,0.000988142,0.000684099,0.000228033,0.001368197,0.415247796,0.029796291,0.010641532,0.016570386,0.02972028,0.015734266,0.018774704,0.009273335,0.013757981,0.015050167,0.007373062,0.024551535,0.01284585,0.019610824,0.011097598,0.00319246,0.010185467,0.012617817,0.011705686,0.008437215,0.001064153,0.000760109,0.034813013,0.019154758,0.023639404,0.006384919,0.004256613,0.00083612,0.000532077,0.010793554,0.0152782,0.012693828,0.00881727,0.000380055,0.000380055,0,0.018090605,0.031164488,0.006764974,0.004104591,0.000228033,0.001292186,0.015886288,0.007905138,0.00083612,0.000684099,0.000380055,0.008969292,0.002812405,0.000304044,0.00083612,0.00083612,0.000304044,0,0.000760109,0.000912131,0.000228033,0.000912131,0
0.469150026,0.028033794,0.008192524,0.018049155,0.025089606,0.018241167,0.02796979,0.009600614,0.014400922,0.009792627,0.008000512,0.020673323,0.010560676,0.017985151,0.008768561,0.004352279,0.0078085,0.013568868,0.008576549,0.006784434,0.000640041,0.000256016,0.024961598,0.013312852,0.022977471,0.007104455,0.004544291,0.000768049,0.000896057,0.011136713,0.014464926,0.011648746,0.006208397,0.000512033,0.000384025,6.40E-05,0.012416795,0.017409114,0.009920635,0.005760369,0.000448029,0.000960061,0.008960573,0.006784434,0.00108807,0.000704045,6.40E-05,0.009408602,0.00563236,0.00032002,0.001216078,0.000832053,0.000384025,0,0.000448029,0.000384025,0,0.000448029,0.420954941,0.024257552,0.008192524,0.01344086,0.028033794,0.017281106,0.028609831,0.011264721,0.015232975,0.009280594,0.008960573,0.031810036,0.015552995,0.021889401,0.006592422,0.004352279,0.010176651,0.019009217,0.012416795,0.009088582,0.000768049,0.000768049,0.030273938,0.019073221,0.03296211,0.005760369,0.004864311,0.000384025,0.002048131,0.010048643,0.012608807,0.007424475,0.006592422,0.000896057,0.000832053,0,0.014592934,0.023169483,0.007872504,0.003072197,0.000256016,0.001024066,0.011072709,0.007744496,0.000704045,0.000576037,0,0.007872504,0.003520225,0.000512033,0.001856119,0.000448029,6.40E-05,6.40E-05,0.000512033,0.000896057,6.40E-05,0.000512033,0
0.584161397,0.015281542,0.005344776,0.007527853,0.033724782,0.013098464,0.012947907,0.004742547,0.016109606,0.015130985,0.011442337,0.023261066,0.013249021,0.028906956,0.009635652,0.001881963,0.004441433,0.008581752,0.010162602,0.008581752,0.000376393,0.000225836,0.009936766,0.007377296,0.015507377,0.005947004,0.00255947,0,0.000301114,0.00308642,0.005495333,0.003839205,0.00715146,0.00052695,7.53E-05,7.53E-05,0.006248118,0.029433905,0.004893104,0.001279735,0.000376393,0.000376393,0.009259259,0.017690455,7.53E-05,0,0,0.006549232,0.001656128,7.53E-05,0.00052695,0.000602228,0.000150557,0,0.000301114,0.000150557,0,0.00052695,0.533423668,0.026422764,0.005043662,0.010614273,0.013550136,0.007527853,0.019873532,0.00308642,0.008054803,0.009183981,0.007000903,0.01844324,0.007302017,0.037037037,0.017690455,0.001279735,0.005570611,0.008355917,0.004065041,0.005043662,0.000376393,0,0.037488708,0.015055706,0.01791629,0.006624511,0.001656128,0.000301114,0.000301114,0.006097561,0.014754592,0.008807588,0.007226739,0.00052695,0.000301114,0,0.020325203,0.035230352,0.00820536,0.002484192,0.000150557,0.001129178,0.01535682,0.00873231,0.000451671,0,0,0.009936766,0.002785306,0.000225836,0.000225836,0.000602228,0.000376393,0,0.000225836,0.000677507,0,7.53E-05,0
