X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,Y
0.021121448,0.002137289,0.0060347,0.0054899,0.00318498,0.008046266,0.008046266,0.006621406,0.008213897,0.017349761,0.02074428,0.001885844,0.005447993,0.009345403,0.018355544,0.021163356,0.00779482,0.007291929,0.021289079,0.03155645,0.020367111,0.013578074,0.004232671,0.00779482,0.010602632,0.028329562,0.029502975,0.011985584,0.009052049,0.006118515,0.004861286,0.018355544,0.023552091,0.016804962,0.015044841,0.010141648,0.008297712,0.008926326,0.029922052,0.023803537,0.011398877,0.010895985,0.018648898,0.022378677,0.020241388,0.011315062,0.007878635,0.026066549,0.023510184,0.015673456,0.009135865,0.022755846,0.015757271,0.011021708,0.012362752,0.010015925,0.007669097,0.075727097,0
0.021121448,0.00318498,0.006621406,0.008213897,0.001885844,0.005447993,0.009345403,0.00779482,0.007291929,0.021289079,0.03155645,0.004232671,0.00779482,0.010602632,0.028329562,0.029502975,0.006118515,0.008297712,0.018648898,0.026066549,0.022755846,0.012362752,0.002137289,0.004861286,0.008926326,0.022378677,0.023510184,0.015757271,0.010015925,0.0060347,0.008046266,0.017349761,0.018355544,0.020367111,0.011985584,0.007669097,0.0054899,0.008046266,0.02074428,0.021163356,0.013578074,0.009052049,0.018355544,0.023552091,0.016804962,0.015044841,0.010141648,0.029922052,0.023803537,0.011398877,0.010895985,0.020241388,0.011315062,0.007878635,0.015673456,0.009135865,0.011021708,0.075727097,0
0.019114219,0.002295141,0.006813699,0.007530931,0.001685494,0.006526807,0.010543303,0.011511565,0.006813699,0.01958042,0.032813341,0.001542048,0.006455083,0.009216425,0.022700377,0.022377622,0.006849561,0.005558544,0.019401112,0.020441097,0.019257665,0.013806706,0.001219294,0.005809575,0.009324009,0.024063116,0.020405236,0.011690873,0.014201183,0.012694997,0.008750224,0.021911422,0.024816209,0.026967904,0.012730859,0.007423346,0.00706473,0.010112964,0.023023131,0.024887933,0.014165322,0.009933656,0.018863188,0.020225928,0.01821768,0.014452214,0.008319885,0.028617536,0.021660391,0.015205308,0.014380491,0.026609288,0.012192935,0.006347499,0.011690873,0.00889367,0.006921284,0.08359333,0
0.011010101,0.000808081,0.007474747,0.005757576,0.001010101,0.003535354,0.006464646,0.007474747,0.005252525,0.016161616,0.031414141,0.001313131,0.004949495,0.008686869,0.02989899,0.02010101,0.006767677,0.004949495,0.022424242,0.046363636,0.020808081,0.010606061,0.000808081,0.004545455,0.01030303,0.04,0.028585859,0.012323232,0.006262626,0.007676768,0.006060606,0.022020202,0.04989899,0.022929293,0.007979798,0.006060606,0.005050505,0.01030303,0.04959596,0.032727273,0.012020202,0.007676768,0.021919192,0.042121212,0.023737374,0.013232323,0.008383838,0.027777778,0.027777778,0.012424242,0.006767677,0.024848485,0.012121212,0.005252525,0.011717172,0.006161616,0.005555556,0.064444444,0
0.013052104,0.001009363,0.006787094,0.004420313,0.000765723,0.004907591,0.007866068,0.004176673,0.003515367,0.018272946,0.019839198,0.001531447,0.004768369,0.011033379,0.028749434,0.017542028,0.006891511,0.006195399,0.021857923,0.046221851,0.026069402,0.011033379,0.001392224,0.007065539,0.011694685,0.03275208,0.028157739,0.013783022,0.007796457,0.004107062,0.005081619,0.019317114,0.026382653,0.015279663,0.011590268,0.008910236,0.005012008,0.012286381,0.043889875,0.023667815,0.010859351,0.008388152,0.022971703,0.03306533,0.026765515,0.012355992,0.007483206,0.02847099,0.02394626,0.014861996,0.006961122,0.025721346,0.015418886,0.008422958,0.013678605,0.009849988,0.008214124,0.084856079,0
0.011272811,0.002356202,0.003834604,0.005821206,0.001386001,0.003742204,0.01030261,0.004804805,0.003973204,0.017325017,0.041580042,0.001801802,0.005035805,0.008685609,0.041903442,0.026149226,0.003372603,0.005451605,0.018341418,0.02975283,0.025456225,0.012196812,0.001478401,0.003788404,0.008316008,0.02993763,0.021760222,0.012474012,0.007530608,0.004296604,0.006283206,0.017371217,0.03012243,0.025641026,0.012982213,0.009055209,0.004065604,0.00997921,0.033125433,0.027812428,0.012566413,0.008223608,0.018249018,0.04047124,0.028597829,0.013167013,0.010718411,0.031231231,0.023331023,0.011642412,0.007992608,0.022360822,0.011319011,0.00956341,0.012058212,0.008500809,0.01025641,0.071979672,0
0.025947459,0.002260982,0.009043928,0.007213609,0.001722653,0.005060293,0.007321275,0.00796727,0.007751938,0.014857881,0.012166236,0.002153316,0.007859604,0.010766581,0.02540913,0.014427218,0.011520241,0.008505599,0.024870801,0.038006029,0.024009475,0.010658915,0.001830319,0.007105943,0.011627907,0.025193798,0.030469423,0.013135228,0.00796727,0.005598622,0.007321275,0.016580534,0.020887166,0.009905254,0.010228252,0.006136951,0.006029285,0.014319552,0.036498708,0.019595177,0.008182601,0.008613264,0.020671835,0.024440138,0.021856158,0.009582257,0.009797588,0.022394488,0.019272179,0.009905254,0.011412575,0.020348837,0.011735573,0.005706288,0.012273902,0.011520241,0.00667528,0.107342808,0
0.022195196,0.003648525,0.006993007,0.007981149,0.002280328,0.00646093,0.009121313,0.006536941,0.006612952,0.020294922,0.033596838,0.003496503,0.009501368,0.010185467,0.029416236,0.025995743,0.007069018,0.009121313,0.01771055,0.023639404,0.02090301,0.010945576,0.002356339,0.005548799,0.007297051,0.026223776,0.020826999,0.013149894,0.010565521,0.007373062,0.008665248,0.016570386,0.015658255,0.019002736,0.012237762,0.007601095,0.005244755,0.008209182,0.017862572,0.020674977,0.013301915,0.008893281,0.016798419,0.025463667,0.017558528,0.012009729,0.011173609,0.028732137,0.02333536,0.010337489,0.009349346,0.017482517,0.011477653,0.008437215,0.013910003,0.009957434,0.011629675,0.086196412,0
0.020993344,0.001856119,0.009408602,0.00672043,0.002112135,0.005568356,0.011008705,0.011968766,0.006848438,0.018113159,0.030273938,0.00249616,0.00640041,0.008896569,0.023425499,0.023361495,0.007936508,0.005888377,0.015552995,0.019329237,0.020417307,0.011392729,0.001984127,0.006336406,0.009088582,0.020353303,0.018049155,0.011584741,0.015296979,0.012352791,0.009280594,0.021121352,0.023105479,0.022593446,0.010816692,0.006144393,0.007552483,0.009024578,0.02406554,0.022977471,0.012864823,0.009984639,0.0187532,0.017153098,0.018561188,0.014080901,0.008384537,0.024833589,0.020801331,0.014144905,0.013888889,0.022529442,0.011200717,0.006336406,0.012608807,0.010048643,0.007680492,0.102406554,0
0.013023186,0.000828064,0.00820536,0.005570611,0.001656128,0.005947004,0.007076182,0.006473954,0.005269497,0.027401385,0.035832581,0.001129178,0.006097561,0.013399578,0.042381813,0.030487805,0.00873231,0.006022282,0.021981331,0.03944595,0.035456188,0.017765733,0.000752785,0.003839205,0.008581752,0.025293586,0.028078892,0.017163505,0.009635652,0.00617284,0.002935863,0.0122704,0.024465522,0.021755495,0.015055706,0.0122704,0.004516712,0.006097561,0.021379103,0.012947907,0.0122704,0.011592894,0.012420958,0.043435712,0.020400482,0.012119843,0.00767841,0.019421861,0.016034327,0.01076483,0.007904246,0.020400482,0.010990665,0.007828967,0.013173743,0.010087323,0.010388437,0.080472749,0
