X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,Y
0.378132596,0.092951136,0.02464169,0.095800855,0.012069399,0.001173414,0.018942251,0.052216914,0.11130668,0.000377169,0.005406085,0.000628615,0.096806638,0.000335261,0.084611516,0.024599782,0
0.423686196,0.073254547,0.022001509,0.079373062,0.010476909,0.001969659,0.01630207,0.066088341,0.128069734,0.000419076,0.004526025,0.000586707,0.072919286,0.00088006,0.071117258,0.028329562,0
0.429263045,0.093024924,0.021624529,0.090084275,0.009072978,0.001075847,0.014882553,0.056768872,0.102241348,0.0004662,0.003514434,0.000537924,0.067850099,0.000251031,0.080509234,0.028832706,0
0.334949495,0.10010101,0.02,0.124646465,0.002828283,0.00010101,0.011515152,0.071818182,0.118484848,0.00020202,0.001919192,0.00010101,0.092929293,0,0.095656566,0.024747475,0
0.380877798,0.076189482,0.021892729,0.117642964,0.006160593,0.000417667,0.016602276,0.059413177,0.121158331,0.001078974,0.003793812,0.000243639,0.09261773,0.000139222,0.082176047,0.019595559,0
0.483391083,0.075028875,0.023146223,0.086625087,0.006375606,0.000600601,0.011827212,0.056826057,0.109355509,4.62E-05,0.001478401,0.0001386,0.057057057,0,0.063802264,0.024301224,0
0.284453058,0.078057709,0.016472868,0.123492679,0.00796727,0.002153316,0.010658915,0.081180017,0.128014643,0.002476314,0.007751938,0.00129199,0.120585702,0.001076658,0.096145564,0.038221361,0
0.404150198,0.079127394,0.023183338,0.079051383,0.015126178,0.002204317,0.017254485,0.070006081,0.1277744,0.000380055,0.005016722,0.000456066,0.073046519,0.001444208,0.075022803,0.026755853,0
0.411994368,0.095430108,0.019969278,0.09594214,0.0109447,0.001984127,0.019073221,0.054595494,0.108550947,0.000512033,0.004736303,0.000832053,0.067268305,0.000576037,0.076740911,0.030849974,0
0.492697983,0.048705209,0.016335441,0.067901235,0.007076182,0.000376393,0.008882867,0.057512797,0.156428787,0.000301114,0.002258356,0.000301114,0.07121349,0.000150557,0.052017465,0.017841012,0
0.422039474,0.088267544,0.018092105,0.094846491,0.009649123,0.001535088,0.010307018,0.064254386,0.118859649,0.000109649,0.003618421,0.000219298,0.067105263,0.000328947,0.072149123,0.028618421,0
0.411281535,0.105230073,0.021456709,0.097183807,0.011734138,0.001802028,0.016385886,0.046601291,0.109043668,0.000460984,0.003604057,0.000838153,0.079373062,0.000335261,0.068560892,0.026108457,0
0.385404339,0.08610364,0.022951408,0.113968083,0.011583289,0.001577909,0.018504572,0.063152232,0.115079792,0.000394477,0.004016496,0.001039986,0.078429263,0.000251031,0.071651425,0.025892057,0
0.367171717,0.071313131,0.018484848,0.092222222,0.003131313,0.000606061,0.012424242,0.084242424,0.127373737,0,0.001616162,0.00010101,0.077878788,0.00030303,0.101515152,0.041616162,0
0.450314991,0.06470363,0.021544673,0.064251157,0.006926317,0.000452473,0.017159166,0.05328739,0.121332359,0.000730918,0.002227559,0.000174028,0.071281891,0.000208834,0.090390171,0.035014444,0
0.457103257,0.082189882,0.024070224,0.092815893,0.006791407,0.000600601,0.017001617,0.051282051,0.097066297,0,0.002910603,0.0002772,0.069207669,9.24E-05,0.079417879,0.019173019,0
